iso,country,country-code,year,gdp_per_c
CIV,Côte d'Ivoire,384,2023,0.022878
CIV,Côte d'Ivoire,384,2024,0.026685499999999997
CIV,Côte d'Ivoire,384,2025,0.0304912
CIV,Côte d'Ivoire,384,2026,0.03428599999999
CIV,Côte d'Ivoire,384,2027,0.0380647
CIV,Côte d'Ivoire,384,2028,0.04182439999999
CIV,Côte d'Ivoire,384,2029,0.045563599999999996
CIV,Côte d'Ivoire,384,2030,0.0492811
CIV,Côte d'Ivoire,384,2031,0.052976499999999996
CIV,Côte d'Ivoire,384,2032,0.05664929999999
CIV,Côte d'Ivoire,384,2033,0.0602993
CIV,Côte d'Ivoire,384,2034,0.0639264
CIV,Côte d'Ivoire,384,2035,0.0675303
CIV,Côte d'Ivoire,384,2036,0.0711111
CIV,Côte d'Ivoire,384,2037,0.0746685
CIV,Côte d'Ivoire,384,2038,0.0782026
CIV,Côte d'Ivoire,384,2039,0.0817132
CIV,Côte d'Ivoire,384,2040,0.0852003
CIV,Côte d'Ivoire,384,2041,0.0886638
CIV,Côte d'Ivoire,384,2042,0.0921036
CIV,Côte d'Ivoire,384,2043,0.0955196
CIV,Côte d'Ivoire,384,2044,0.09891189999999998
CIV,Côte d'Ivoire,384,2045,0.1022802
CIV,Côte d'Ivoire,384,2046,0.1056245
CIV,Côte d'Ivoire,384,2047,0.10894469999999999
CIV,Côte d'Ivoire,384,2048,0.1122408
CIV,Côte d'Ivoire,384,2049,0.1155127
CIV,Côte d'Ivoire,384,2050,0.1187603
CIV,Côte d'Ivoire,384,2051,0.1219836
CIV,Côte d'Ivoire,384,2052,0.1251825
CIV,Côte d'Ivoire,384,2053,0.1283569
CIV,Côte d'Ivoire,384,2054,0.1315068
CIV,Côte d'Ivoire,384,2055,0.134632
CIV,Côte d'Ivoire,384,2056,0.1377325
CIV,Côte d'Ivoire,384,2057,0.1408083
CIV,Côte d'Ivoire,384,2058,0.14385919999999
CIV,Côte d'Ivoire,384,2059,0.1468853
CIV,Côte d'Ivoire,384,2060,0.1498864
CIV,Côte d'Ivoire,384,2061,0.15286239999999998
CIV,Côte d'Ivoire,384,2062,0.1558133
CIV,Côte d'Ivoire,384,2063,0.15873909999999
CIV,Côte d'Ivoire,384,2064,0.16163969999999
CIV,Côte d'Ivoire,384,2065,0.16451489999999
CIV,Côte d'Ivoire,384,2066,0.1673648
CIV,Côte d'Ivoire,384,2067,0.1701893
CIV,Côte d'Ivoire,384,2068,0.1729883
CIV,Côte d'Ivoire,384,2069,0.1757617
CIV,Côte d'Ivoire,384,2070,0.17850949999999
CIV,Côte d'Ivoire,384,2071,0.1812317
CIV,Côte d'Ivoire,384,2072,0.18392809999999998
CIV,Côte d'Ivoire,384,2073,0.1865987
CIV,Côte d'Ivoire,384,2074,0.18924339999999998
CIV,Côte d'Ivoire,384,2075,0.19186229999999999
CIV,Côte d'Ivoire,384,2076,0.19445509999999
CIV,Côte d'Ivoire,384,2077,0.1970219
CIV,Côte d'Ivoire,384,2078,0.19956259999999998
CIV,Côte d'Ivoire,384,2079,0.2020771
CIV,Côte d'Ivoire,384,2080,0.20456549999999998
CIV,Côte d'Ivoire,384,2081,0.20702749999999998
CIV,Côte d'Ivoire,384,2082,0.2094633
CIV,Côte d'Ivoire,384,2083,0.2118726
CIV,Côte d'Ivoire,384,2084,0.2142555
CIV,Côte d'Ivoire,384,2085,0.21661189999999
CIV,Côte d'Ivoire,384,2086,0.2189417
CIV,Côte d'Ivoire,384,2087,0.2212449
CIV,Côte d'Ivoire,384,2088,0.2235215
CIV,Côte d'Ivoire,384,2089,0.2257714
CIV,Côte d'Ivoire,384,2090,0.2279945
CIV,Côte d'Ivoire,384,2091,0.2301908
CIV,Côte d'Ivoire,384,2092,0.23236009999999999
CIV,Côte d'Ivoire,384,2093,0.2345026
CIV,Côte d'Ivoire,384,2094,0.23661810000000003
CIV,Côte d'Ivoire,384,2095,0.23870659999999
CIV,Côte d'Ivoire,384,2096,0.240768
CIV,Côte d'Ivoire,384,2097,0.2428024
CIV,Côte d'Ivoire,384,2098,0.24480949999999999
CIV,Côte d'Ivoire,384,2099,0.2467894
CIV,Côte d'Ivoire,384,2100,0.24874210000000002
