iso,country,country-code,year,gdp_per_c,Scenario
PRI,Puerto Rico,630,2023,-0.006288700000000001,SSP1-2.6
PRI,Puerto Rico,630,2024,-0.0073822,SSP1-2.6
PRI,Puerto Rico,630,2025,-0.0084897,SSP1-2.6
PRI,Puerto Rico,630,2026,-0.0096091,SSP1-2.6
PRI,Puerto Rico,630,2027,-0.0107391,SSP1-2.6
PRI,Puerto Rico,630,2028,-0.0118788,SSP1-2.6
PRI,Puerto Rico,630,2029,-0.013027899999999999,SSP1-2.6
PRI,Puerto Rico,630,2030,-0.014186200000000001,SSP1-2.6
PRI,Puerto Rico,630,2031,-0.015353399999989999,SSP1-2.6
PRI,Puerto Rico,630,2032,-0.0165296,SSP1-2.6
PRI,Puerto Rico,630,2033,-0.0177147,SSP1-2.6
PRI,Puerto Rico,630,2034,-0.0189086,SSP1-2.6
PRI,Puerto Rico,630,2035,-0.0201113,SSP1-2.6
PRI,Puerto Rico,630,2036,-0.02132279999999,SSP1-2.6
PRI,Puerto Rico,630,2037,-0.0225431,SSP1-2.6
PRI,Puerto Rico,630,2038,-0.0237722,SSP1-2.6
PRI,Puerto Rico,630,2039,-0.02501,SSP1-2.6
PRI,Puerto Rico,630,2040,-0.0262567,SSP1-2.6
PRI,Puerto Rico,630,2041,-0.027512,SSP1-2.6
PRI,Puerto Rico,630,2042,-0.028776200000000002,SSP1-2.6
PRI,Puerto Rico,630,2043,-0.030049,SSP1-2.6
PRI,Puerto Rico,630,2044,-0.0313306,SSP1-2.6
PRI,Puerto Rico,630,2045,-0.0326209,SSP1-2.6
PRI,Puerto Rico,630,2046,-0.0339198,SSP1-2.6
PRI,Puerto Rico,630,2047,-0.035227499999999995,SSP1-2.6
PRI,Puerto Rico,630,2048,-0.03654389999999,SSP1-2.6
PRI,Puerto Rico,630,2049,-0.037869,SSP1-2.6
PRI,Puerto Rico,630,2050,-0.0392027,SSP1-2.6
PRI,Puerto Rico,630,2051,-0.0405451,SSP1-2.6
PRI,Puerto Rico,630,2052,-0.0418962,SSP1-2.6
PRI,Puerto Rico,630,2053,-0.0432559,SSP1-2.6
PRI,Puerto Rico,630,2054,-0.0446242,SSP1-2.6
PRI,Puerto Rico,630,2055,-0.0460011,SSP1-2.6
PRI,Puerto Rico,630,2056,-0.0473867,SSP1-2.6
PRI,Puerto Rico,630,2057,-0.0487809,SSP1-2.6
PRI,Puerto Rico,630,2058,-0.0501837,SSP1-2.6
PRI,Puerto Rico,630,2059,-0.051595,SSP1-2.6
PRI,Puerto Rico,630,2060,-0.05301499999999999,SSP1-2.6
PRI,Puerto Rico,630,2061,-0.0544435,SSP1-2.6
PRI,Puerto Rico,630,2062,-0.0558806,SSP1-2.6
PRI,Puerto Rico,630,2063,-0.057326199999999994,SSP1-2.6
PRI,Puerto Rico,630,2064,-0.0587803,SSP1-2.6
PRI,Puerto Rico,630,2065,-0.06024299999999,SSP1-2.6
PRI,Puerto Rico,630,2066,-0.0617142,SSP1-2.6
PRI,Puerto Rico,630,2067,-0.0631939,SSP1-2.6
PRI,Puerto Rico,630,2068,-0.0646821,SSP1-2.6
PRI,Puerto Rico,630,2069,-0.0661788,SSP1-2.6
PRI,Puerto Rico,630,2070,-0.067684,SSP1-2.6
PRI,Puerto Rico,630,2071,-0.0691977,SSP1-2.6
PRI,Puerto Rico,630,2072,-0.0707198,SSP1-2.6
PRI,Puerto Rico,630,2073,-0.0722504,SSP1-2.6
PRI,Puerto Rico,630,2074,-0.0737894,SSP1-2.6
PRI,Puerto Rico,630,2075,-0.07533679999998999,SSP1-2.6
PRI,Puerto Rico,630,2076,-0.0768927,SSP1-2.6
PRI,Puerto Rico,630,2077,-0.07845689999999,SSP1-2.6
PRI,Puerto Rico,630,2078,-0.0800296,SSP1-2.6
PRI,Puerto Rico,630,2079,-0.0816106,SSP1-2.6
PRI,Puerto Rico,630,2080,-0.0832,SSP1-2.6
PRI,Puerto Rico,630,2081,-0.08479779999999999,SSP1-2.6
PRI,Puerto Rico,630,2082,-0.0864039,SSP1-2.6
PRI,Puerto Rico,630,2083,-0.0880184,SSP1-2.6
PRI,Puerto Rico,630,2084,-0.08964119999999999,SSP1-2.6
PRI,Puerto Rico,630,2085,-0.0912723,SSP1-2.6
PRI,Puerto Rico,630,2086,-0.0929118,SSP1-2.6
PRI,Puerto Rico,630,2087,-0.09455959999999,SSP1-2.6
PRI,Puerto Rico,630,2088,-0.0962156,SSP1-2.6
PRI,Puerto Rico,630,2089,-0.0978799,SSP1-2.6
PRI,Puerto Rico,630,2090,-0.09955249999999999,SSP1-2.6
PRI,Puerto Rico,630,2091,-0.1012333,SSP1-2.6
PRI,Puerto Rico,630,2092,-0.1029224,SSP1-2.6
PRI,Puerto Rico,630,2093,-0.1046197,SSP1-2.6
PRI,Puerto Rico,630,2094,-0.10632529999999998,SSP1-2.6
PRI,Puerto Rico,630,2095,-0.10803899999998999,SSP1-2.6
PRI,Puerto Rico,630,2096,-0.109761,SSP1-2.6
PRI,Puerto Rico,630,2097,-0.1114912,SSP1-2.6
PRI,Puerto Rico,630,2098,-0.1132295,SSP1-2.6
PRI,Puerto Rico,630,2099,-0.11497599999998999,SSP1-2.6
PRI,Puerto Rico,630,2100,-0.11673059999999999,SSP1-2.6
PRI,Puerto Rico,630,2023,-0.0329018,SSP2-4.5
PRI,Puerto Rico,630,2024,-0.0390954,SSP2-4.5
PRI,Puerto Rico,630,2025,-0.0455086,SSP2-4.5
PRI,Puerto Rico,630,2026,-0.05213,SSP2-4.5
PRI,Puerto Rico,630,2027,-0.058952899999999996,SSP2-4.5
PRI,Puerto Rico,630,2028,-0.065973,SSP2-4.5
PRI,Puerto Rico,630,2029,-0.0731875,SSP2-4.5
PRI,Puerto Rico,630,2030,-0.0805942,SSP2-4.5
PRI,Puerto Rico,630,2031,-0.0881913,SSP2-4.5
PRI,Puerto Rico,630,2032,-0.0959774,SSP2-4.5
PRI,Puerto Rico,630,2033,-0.10395109999999999,SSP2-4.5
PRI,Puerto Rico,630,2034,-0.11211119999999002,SSP2-4.5
PRI,Puerto Rico,630,2035,-0.12045639999999999,SSP2-4.5
PRI,Puerto Rico,630,2036,-0.12898529999998998,SSP2-4.5
PRI,Puerto Rico,630,2037,-0.13769679999999998,SSP2-4.5
PRI,Puerto Rico,630,2038,-0.1465895,SSP2-4.5
PRI,Puerto Rico,630,2039,-0.1556621,SSP2-4.5
PRI,Puerto Rico,630,2040,-0.16491339999999,SSP2-4.5
PRI,Puerto Rico,630,2041,-0.1743419,SSP2-4.5
PRI,Puerto Rico,630,2042,-0.1839463,SSP2-4.5
PRI,Puerto Rico,630,2043,-0.19372519999999,SSP2-4.5
PRI,Puerto Rico,630,2044,-0.2036773,SSP2-4.5
PRI,Puerto Rico,630,2045,-0.2138011,SSP2-4.5
PRI,Puerto Rico,630,2046,-0.2240952,SSP2-4.5
PRI,Puerto Rico,630,2047,-0.23455820000000002,SSP2-4.5
PRI,Puerto Rico,630,2048,-0.24518859999999998,SSP2-4.5
PRI,Puerto Rico,630,2049,-0.25598499999999996,SSP2-4.5
PRI,Puerto Rico,630,2050,-0.2669457,SSP2-4.5
PRI,Puerto Rico,630,2051,-0.2780695,SSP2-4.5
PRI,Puerto Rico,630,2052,-0.28935469999999996,SSP2-4.5
PRI,Puerto Rico,630,2053,-0.3007998,SSP2-4.5
PRI,Puerto Rico,630,2054,-0.3124032,SSP2-4.5
PRI,Puerto Rico,630,2055,-0.3241636,SSP2-4.5
PRI,Puerto Rico,630,2056,-0.3360792,SSP2-4.5
PRI,Puerto Rico,630,2057,-0.34814859999999,SSP2-4.5
PRI,Puerto Rico,630,2058,-0.36037009999999997,SSP2-4.5
PRI,Puerto Rico,630,2059,-0.3727422,SSP2-4.5
PRI,Puerto Rico,630,2060,-0.3852632,SSP2-4.5
PRI,Puerto Rico,630,2061,-0.39793169999999994,SSP2-4.5
PRI,Puerto Rico,630,2062,-0.41074600000000006,SSP2-4.5
PRI,Puerto Rico,630,2063,-0.4237044,SSP2-4.5
PRI,Puerto Rico,630,2064,-0.43680539999999995,SSP2-4.5
PRI,Puerto Rico,630,2065,-0.4500473,SSP2-4.5
PRI,Puerto Rico,630,2066,-0.4634285,SSP2-4.5
PRI,Puerto Rico,630,2067,-0.47694749999999997,SSP2-4.5
PRI,Puerto Rico,630,2068,-0.49060249999999994,SSP2-4.5
PRI,Puerto Rico,630,2069,-0.5043919,SSP2-4.5
PRI,Puerto Rico,630,2070,-0.5183141999999901,SSP2-4.5
PRI,Puerto Rico,630,2071,-0.5323675,SSP2-4.5
PRI,Puerto Rico,630,2072,-0.5465504999999999,SSP2-4.5
PRI,Puerto Rico,630,2073,-0.5608613,SSP2-4.5
PRI,Puerto Rico,630,2074,-0.5752984,SSP2-4.5
PRI,Puerto Rico,630,2075,-0.58986,SSP2-4.5
PRI,Puerto Rico,630,2076,-0.60454459999999,SSP2-4.5
PRI,Puerto Rico,630,2077,-0.6193505,SSP2-4.5
PRI,Puerto Rico,630,2078,-0.6342761999999901,SSP2-4.5
PRI,Puerto Rico,630,2079,-0.6493198,SSP2-4.5
PRI,Puerto Rico,630,2080,-0.66447999999999,SSP2-4.5
PRI,Puerto Rico,630,2081,-0.6797551,SSP2-4.5
PRI,Puerto Rico,630,2082,-0.6951433,SSP2-4.5
PRI,Puerto Rico,630,2083,-0.7106431,SSP2-4.5
PRI,Puerto Rico,630,2084,-0.7262529999999999,SSP2-4.5
PRI,Puerto Rico,630,2085,-0.7419711,SSP2-4.5
PRI,Puerto Rico,630,2086,-0.7577961999999999,SSP2-4.5
PRI,Puerto Rico,630,2087,-0.7737265,SSP2-4.5
PRI,Puerto Rico,630,2088,-0.7897602,SSP2-4.5
PRI,Puerto Rico,630,2089,-0.8058962,SSP2-4.5
PRI,Puerto Rico,630,2090,-0.8221324999999999,SSP2-4.5
PRI,Puerto Rico,630,2091,-0.8384678,SSP2-4.5
PRI,Puerto Rico,630,2092,-0.8549004000000001,SSP2-4.5
PRI,Puerto Rico,630,2093,-0.8714288000000001,SSP2-4.5
PRI,Puerto Rico,630,2094,-0.8880515999999999,SSP2-4.5
PRI,Puerto Rico,630,2095,-0.9047671,SSP2-4.5
PRI,Puerto Rico,630,2096,-0.92157389999999,SSP2-4.5
PRI,Puerto Rico,630,2097,-0.9384705,SSP2-4.5
PRI,Puerto Rico,630,2098,-0.9554551,SSP2-4.5
PRI,Puerto Rico,630,2099,-0.9725267,SSP2-4.5
PRI,Puerto Rico,630,2100,-0.9896834999999999,SSP2-4.5
PRI,Puerto Rico,630,2023,-0.06570629999999,SSP3-7.0
PRI,Puerto Rico,630,2024,-0.07886219999999,SSP3-7.0
PRI,Puerto Rico,630,2025,-0.09269229999999999,SSP3-7.0
PRI,Puerto Rico,630,2026,-0.1071718,SSP3-7.0
PRI,Puerto Rico,630,2027,-0.1222838,SSP3-7.0
PRI,Puerto Rico,630,2028,-0.1380152,SSP3-7.0
PRI,Puerto Rico,630,2029,-0.1543553,SSP3-7.0
PRI,Puerto Rico,630,2030,-0.1712943,SSP3-7.0
PRI,Puerto Rico,630,2031,-0.18882299999999,SSP3-7.0
PRI,Puerto Rico,630,2032,-0.2069325,SSP3-7.0
PRI,Puerto Rico,630,2033,-0.22561389999999998,SSP3-7.0
