iso,country,country-code,year,gdp_per_c
ETH,Ethiopia,231,2023,0.1148015
ETH,Ethiopia,231,2024,0.13374829999999
ETH,Ethiopia,231,2025,0.1526287
ETH,Ethiopia,231,2026,0.1713935
ETH,Ethiopia,231,2027,0.1900136
ETH,Ethiopia,231,2028,0.2084711
ETH,Ethiopia,231,2029,0.2267542
ETH,Ethiopia,231,2030,0.24485459999999998
ETH,Ethiopia,231,2031,0.2627659
ETH,Ethiopia,231,2032,0.28048279999999
ETH,Ethiopia,231,2033,0.2980008
ETH,Ethiopia,231,2034,0.31531569999999
ETH,Ethiopia,231,2035,0.3324233
ETH,Ethiopia,231,2036,0.3493198
ETH,Ethiopia,231,2037,0.36600129999999
ETH,Ethiopia,231,2038,0.38246389999999997
ETH,Ethiopia,231,2039,0.39870390000000006
ETH,Ethiopia,231,2040,0.4147175
ETH,Ethiopia,231,2041,0.43050069999999996
ETH,Ethiopia,231,2042,0.44605010000000006
ETH,Ethiopia,231,2043,0.4613616
ETH,Ethiopia,231,2044,0.4764318
ETH,Ethiopia,231,2045,0.4912568
ETH,Ethiopia,231,2046,0.5058329
ETH,Ethiopia,231,2047,0.5201565
ETH,Ethiopia,231,2048,0.534224
ETH,Ethiopia,231,2049,0.5480317
ETH,Ethiopia,231,2050,0.561576
ETH,Ethiopia,231,2051,0.5748535
ETH,Ethiopia,231,2052,0.5878607
ETH,Ethiopia,231,2053,0.6005941
ETH,Ethiopia,231,2054,0.6130502999999999
ETH,Ethiopia,231,2055,0.6252257
ETH,Ethiopia,231,2056,0.6371173
ETH,Ethiopia,231,2057,0.6487218
ETH,Ethiopia,231,2058,0.6600357
ETH,Ethiopia,231,2059,0.6710563
ETH,Ethiopia,231,2060,0.6817801
ETH,Ethiopia,231,2061,0.6922041999999999
ETH,Ethiopia,231,2062,0.7023258
ETH,Ethiopia,231,2063,0.7121417
ETH,Ethiopia,231,2064,0.7216492
ETH,Ethiopia,231,2065,0.7308456
ETH,Ethiopia,231,2066,0.7397282
ETH,Ethiopia,231,2067,0.7482943
ETH,Ethiopia,231,2068,0.7565414
ETH,Ethiopia,231,2069,0.7644671
ETH,Ethiopia,231,2070,0.772069
ETH,Ethiopia,231,2071,0.7793449
ETH,Ethiopia,231,2072,0.7862924
ETH,Ethiopia,231,2073,0.7929096999999999
ETH,Ethiopia,231,2074,0.7991945
ETH,Ethiopia,231,2075,0.805145
ETH,Ethiopia,231,2076,0.8107593999999999
ETH,Ethiopia,231,2077,0.816036
ETH,Ethiopia,231,2078,0.8209730000000001
ETH,Ethiopia,231,2079,0.8255692
ETH,Ethiopia,231,2080,0.8298228
ETH,Ethiopia,231,2081,0.8337327
ETH,Ethiopia,231,2082,0.83729759999999
ETH,Ethiopia,231,2083,0.8405164999999999
ETH,Ethiopia,231,2084,0.8433883
ETH,Ethiopia,231,2085,0.845912
ETH,Ethiopia,231,2086,0.8480869999999999
ETH,Ethiopia,231,2087,0.8499124
ETH,Ethiopia,231,2088,0.8513879
ETH,Ethiopia,231,2089,0.8525128
ETH,Ethiopia,231,2090,0.8532869000000001
ETH,Ethiopia,231,2091,0.85370999999999
ETH,Ethiopia,231,2092,0.8537816
ETH,Ethiopia,231,2093,0.8535021
ETH,Ethiopia,231,2094,0.8528713
ETH,Ethiopia,231,2095,0.8518897
ETH,Ethiopia,231,2096,0.85055729999999
ETH,Ethiopia,231,2097,0.8488746
ETH,Ethiopia,231,2098,0.8468422999999999
ETH,Ethiopia,231,2099,0.8444607999999999
ETH,Ethiopia,231,2100,0.8417311000000001
