iso,country,country-code,year,gdp_per_c,Scenario
ARE,United Arab Emirates,784,2023,0.0170614,SSP1-2.6
ARE,United Arab Emirates,784,2024,0.0199024,SSP1-2.6
ARE,United Arab Emirates,784,2025,0.02274249999999,SSP1-2.6
ARE,United Arab Emirates,784,2026,0.025575,SSP1-2.6
ARE,United Arab Emirates,784,2027,0.028396200000000003,SSP1-2.6
ARE,United Arab Emirates,784,2028,0.0312039,SSP1-2.6
ARE,United Arab Emirates,784,2029,0.03399689999999,SSP1-2.6
ARE,United Arab Emirates,784,2030,0.0367745,SSP1-2.6
ARE,United Arab Emirates,784,2031,0.039536299999999996,SSP1-2.6
ARE,United Arab Emirates,784,2032,0.042282099999999996,SSP1-2.6
ARE,United Arab Emirates,784,2033,0.0450117,SSP1-2.6
ARE,United Arab Emirates,784,2034,0.0477251,SSP1-2.6
ARE,United Arab Emirates,784,2035,0.0504222,SSP1-2.6
ARE,United Arab Emirates,784,2036,0.0531028,SSP1-2.6
ARE,United Arab Emirates,784,2037,0.0557671,SSP1-2.6
ARE,United Arab Emirates,784,2038,0.058414999999999995,SSP1-2.6
ARE,United Arab Emirates,784,2039,0.0610464,SSP1-2.6
ARE,United Arab Emirates,784,2040,0.06366129999999999,SSP1-2.6
ARE,United Arab Emirates,784,2041,0.06625979999999,SSP1-2.6
ARE,United Arab Emirates,784,2042,0.06884169999999999,SSP1-2.6
ARE,United Arab Emirates,784,2043,0.071407,SSP1-2.6
ARE,United Arab Emirates,784,2044,0.0739559,SSP1-2.6
ARE,United Arab Emirates,784,2045,0.0764881,SSP1-2.6
ARE,United Arab Emirates,784,2046,0.07900369999999,SSP1-2.6
ARE,United Arab Emirates,784,2047,0.0815027,SSP1-2.6
ARE,United Arab Emirates,784,2048,0.0839851,SSP1-2.6
ARE,United Arab Emirates,784,2049,0.0864507,SSP1-2.6
ARE,United Arab Emirates,784,2050,0.0888998,SSP1-2.6
ARE,United Arab Emirates,784,2051,0.0913321,SSP1-2.6
ARE,United Arab Emirates,784,2052,0.0937477,SSP1-2.6
