iso,country,country-code,year,gdp_per_c
ITA,Italy,380,2023,0.1066086
ITA,Italy,380,2024,0.1241642
ITA,Italy,380,2025,0.1416496
ITA,Italy,380,2026,0.1590203
ITA,Italy,380,2027,0.17625089999999
ITA,Italy,380,2028,0.1933265
ITA,Italy,380,2029,0.21023750000000002
ITA,Italy,380,2030,0.22697819999999
ITA,Italy,380,2031,0.2435442
ITA,Italy,380,2032,0.2599324
ITA,Italy,380,2033,0.2761405
ITA,Italy,380,2034,0.2921661
ITA,Italy,380,2035,0.3080074
ITA,Italy,380,2036,0.32366259999999997
ITA,Italy,380,2037,0.33912979999999
ITA,Italy,380,2038,0.3544073
ITA,Italy,380,2039,0.3694935
ITA,Italy,380,2040,0.3843866
ITA,Italy,380,2041,0.3990849
ITA,Italy,380,2042,0.41358689999999
ITA,Italy,380,2043,0.427891
ITA,Italy,380,2044,0.44199540000000004
ITA,Italy,380,2045,0.45589869999999993
ITA,Italy,380,2046,0.46959919999999
ITA,Italy,380,2047,0.4830953
ITA,Italy,380,2048,0.4963856
ITA,Italy,380,2049,0.5094683
ITA,Italy,380,2050,0.5223421
ITA,Italy,380,2051,0.5350055
ITA,Italy,380,2052,0.5474569
ITA,Italy,380,2053,0.5596949
ITA,Italy,380,2054,0.571718
ITA,Italy,380,2055,0.58352479999999
ITA,Italy,380,2056,0.59511389999999
ITA,Italy,380,2057,0.6064838
ITA,Italy,380,2058,0.6176333
ITA,Italy,380,2059,0.6285609
ITA,Italy,380,2060,0.63926519999999
ITA,Italy,380,2061,0.6497452
ITA,Italy,380,2062,0.6599992999999901
ITA,Italy,380,2063,0.6700264
ITA,Italy,380,2064,0.6798253
ITA,Italy,380,2065,0.6893947
ITA,Italy,380,2066,0.69873339999999
ITA,Italy,380,2067,0.7078403
ITA,Italy,380,2068,0.7167142
ITA,Italy,380,2069,0.725354
ITA,Italy,380,2070,0.7337585
ITA,Italy,380,2071,0.7419268
ITA,Italy,380,2072,0.7498578
ITA,Italy,380,2073,0.7575505
ITA,Italy,380,2074,0.765004
ITA,Italy,380,2075,0.7722172
ITA,Italy,380,2076,0.7791892
ITA,Italy,380,2077,0.7859191
ITA,Italy,380,2078,0.7924061
ITA,Italy,380,2079,0.7986493000000001
ITA,Italy,380,2080,0.8046481
ITA,Italy,380,2081,0.8104013
ITA,Italy,380,2082,0.8159085
ITA,Italy,380,2083,0.8211688
ITA,Italy,380,2084,0.82618179999999
ITA,Italy,380,2085,0.83094639999999
ITA,Italy,380,2086,0.8354623
ITA,Italy,380,2087,0.8397287999999999
ITA,Italy,380,2088,0.8437452999999999
ITA,Italy,380,2089,0.8475114
ITA,Italy,380,2090,0.8510264999999999
ITA,Italy,380,2091,0.8542901
ITA,Italy,380,2092,0.8573018
ITA,Italy,380,2093,0.8600614
ITA,Italy,380,2094,0.8625681
ITA,Italy,380,2095,0.864822
ITA,Italy,380,2096,0.8668225999999999
ITA,Italy,380,2097,0.8685696999999999
ITA,Italy,380,2098,0.8700631000000001
ITA,Italy,380,2099,0.8713024
ITA,Italy,380,2100,0.8722875
