gdp_2018_wb,source_iso_code,source_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,ets_23_usd_recon,ets_30_usd_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,ets_23_pct_gdp,ets_30_pct_gdp,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
18418860354.4238,004,Afghanistan,321566908.644,169707113.62399998,321566908.644,169707113.624,12.663680139769506,977.6243987258348,0.0,596.1389912237208,479390.3304298183,461892.96168592473,405051.63495205605,387460.98241589713,479390.3304298183,535420.2424710635,675804.788461893,711217.6215153607,100.0,100.0,0.0,0.0,0.0,73527.28078513878,270753.15350983693,323756.63909946353,0.0026,0.00251,0.0022,0.0021,0.0026,0.00291,0.00367,0.00386,0.0,0.0004,0.00147,0.00176
15156424061.9815,008,Albania,1820407132.74,475904335.28900003,1820407132.74,475904335.28900003,213.66938423314443,16440.066448931884,0.0,3519236.236968394,11029268.529729703,10717600.51206499,9747936.541219687,9388474.707693009,11029268.529729703,11850842.101981372,14314028.810544802,14999849.72430337,100.0,100.0,0.0,0.02322,0.0,1133241.589916382,4566092.269325115,5611375.016610362,0.07277,0.07071,0.06432,0.06194,0.07277,0.07819,0.09444,0.09897,0.0,0.00748,0.03013,0.03702
174910891124.491,012,Algeria,53874027321.106,24887900411.920998,53874027321.106,24887900411.920998,9488.32744527572,729079.177003766,0.0,50231860.85737052,441291688.285782,430311263.8582276,379624414.4719269,370448433.19394135,441291688.285782,478715935.77313036,574318239.8192285,609198326.6547941,100.0,100.0,0.0,0.02872,0.0,48404671.91490275,194693825.3473016,238749893.46085274,0.2523,0.24602,0.21704,0.21179,0.2523,0.27369,0.32835,0.34829,0.0,0.02767,0.11131,0.1365
639000000.0,016,American Samoa,2035519.855,471875.56700000004,2035519.855,471875.56700000004,0.21504670436878792,16.65536909732399,0.0,0.0,10918.057943168667,11275.876322614755,9202.56098728326,9116.579014259321,10918.057943168667,13044.196001883625,14882.682221227777,15723.23497631057,100.0,100.0,0.0,0.0,0.0,1768.3196792688705,5680.121233944517,6606.655962051249,0.00171,0.00176,0.00144,0.00143,0.00171,0.00204,0.00233,0.00246,0.0,0.00028,0.00089,0.00103
3218419896.93327,020,Andorra,13067772.785999998,27137642.35,13067772.785999998,27137642.35,5.901661140667428,456.8013152618414,0.0,56142.859751896394,198815.9663588123,197784.3291512035,167925.30093660674,157781.14502683803,198815.9663588123,218075.30878160102,257591.6507920302,267381.766893156,100.0,100.0,0.0,0.00174,0.0,20290.979630397516,89666.34985542347,109600.62186631796,0.00618,0.00615,0.00522,0.0049,0.00618,0.00678,0.008,0.00831,0.0,0.00063,0.00279,0.00341
77792944471.9494,024,Angola,15520822242.771,7013730937.805,15520822242.771,7013730937.805,7730.0059507273645,593155.6783856561,0.0,41827734.03583185,415373964.1540437,402352783.58821243,366674754.8868297,358787099.4411223,415373964.1540437,445209782.3105375,542706193.2238895,578252352.8739953,100.0,100.0,0.0,0.05377,0.0,42856998.72232509,176031438.3370598,219465253.432873,0.53395,0.51721,0.47135,0.46121,0.53395,0.5723,0.69763,0.74332,0.0,0.05509,0.22628,0.28211
1604770370.37037,028,Antigua and Barbuda,78188792.389,58802175.273,78188792.389,58802175.27300001,17.31092026649777,1319.8468031461457,0.0,0.0,735644.2942602147,710730.807903936,682220.7950840301,669247.8839712841,735644.2942602147,787610.4882182957,959624.6463652088,1025185.8238471396,100.0,100.0,0.0,0.0,0.0,76879.68031435972,277403.85128117865,355937.93987585546,0.04584,0.04429,0.04251,0.0417,0.04584,0.04908,0.0598,0.06388,0.0,0.00479,0.01729,0.02218
47112479289.4186,031,Azerbaijan,21443703882.657,10447885763.830002,21443703882.657,10447885763.830002,4584.805674939054,352624.4577587532,0.0,31242627.49085911,232282001.30029857,228523629.8719287,202510217.5488606,198732641.73376825,232282001.30029857,252962109.649845,300766110.61762583,320873174.7461474,100.0,100.0,0.0,0.06631,0.0,24438479.777916312,98255893.06876522,122140533.01237914,0.49304,0.48506,0.42984,0.42183,0.49304,0.53693,0.6384,0.68108,0.0,0.05187,0.20856,0.25925
524819898586.906,032,Argentina,41407706542.918,19525598853.260002,41407706542.918,19525598853.260002,12464.528285767736,964310.1725317828,0.0,19797429.617793653,619068055.7552769,619970909.1339973,524054482.30012774,507111584.28062165,619068055.7552769,686719058.1567191,807924623.5701448,852993412.0770203,100.0,100.0,0.0,0.00377,0.0,66748149.02272177,283870141.270017,345881827.79639864,0.11796,0.11813,0.09985,0.09663,0.11796,0.13085,0.15394,0.16253,0.0,0.01272,0.05409,0.0659
1428266513154.48,036,Australia,147217909970.514,57642960264.020004,147217909970.514,57642960264.020004,34318.23751324104,2656422.0252735326,0.0,35867175.78239532,1437254167.790262,1404617773.8471832,1207088213.088222,1153905634.7188215,1437254167.790262,1621553096.0904448,1977244843.9551508,2072697647.7048275,100.0,100.0,0.0,0.00251,0.0,216935322.24326158,770156630.8669288,918792012.986006,0.10063,0.09834,0.08451,0.08079,0.10063,0.11353,0.13844,0.14512,0.0,0.01519,0.05392,0.06433
