gdp_2018_wb,dest_iso_code,dest_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,ets_23_usd_recon,ets_30_usd_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,ets_23_pct_gdp,ets_30_pct_gdp,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
18418860354.4238,004,Afghanistan,3425029317.435,918601609.341,3425029317.435,918601609.341,308.78184143525726,23800.721796608006,0.0,43273.05084280305,12291633.642888818,11922942.333665969,10610622.712179204,10340612.561051432,12291633.642888818,13594565.386872822,16676236.466727538,17581583.538420267,100.0,100.0,0.0,0.00023,0.0,1671623.0532068536,6065613.754548334,7240970.977368835,0.06673,0.06473,0.05761,0.05614,0.06673,0.07381,0.09054,0.09545,0.0,0.00908,0.03293,0.03931
15156424061.9815,008,Albania,605246323.3,1115781576.599,605246323.3,1115781576.599,111.28244965274052,8503.000760686744,0.0,1587598.4509545886,5311859.955924992,5102253.852657738,4810045.961437539,4695086.201104623,5311859.955924992,5861491.2816806575,7102177.964691266,7437006.528040572,100.0,100.0,0.0,0.01047,0.0,759237.4290229194,2292132.003253727,2741920.326935949,0.03505,0.03366,0.03174,0.03098,0.03505,0.03867,0.04686,0.04907,0.0,0.00501,0.01512,0.01809
174910891124.491,012,Algeria,13192302693.591,8083634215.857,13192302693.591,8083634215.857,3547.076146173995,274021.93778546696,0.0,6381345.576774223,176341029.6173772,176470122.22875264,149745711.36909756,147388367.04846317,176341029.6173772,197875019.60438046,233209223.7777035,248391167.7248417,100.0,100.0,0.0,0.00365,0.0,21404897.375627816,83463512.40860593,101002800.67637855,0.10082,0.10089,0.08561,0.08426,0.10082,0.11313,0.13333,0.14201,0.0,0.01224,0.04772,0.05775
3218419896.93327,020,Andorra,133199257.98300001,296816422.284,133199257.98300001,296816422.284,14.501940375740709,1104.932628688395,0.0,263441.85077288595,561583.77255505,528354.9295849518,498208.4006887458,488959.08527598245,561583.77255505,606693.6003141052,750724.4347575947,796441.2667640484,100.0,100.0,0.0,0.00819,0.0,78338.67072915332,252516.03406884894,307482.1814880659,0.01745,0.01642,0.01548,0.01519,0.01745,0.01885,0.02333,0.02475,0.0,0.00243,0.00785,0.00955
77792944471.9494,024,Angola,5210876529.444,4614552267.745,5210876529.444,4614552267.745,2199.1336136986524,169651.17746195267,0.0,5260450.034345513,72331590.60640495,69351936.5030082,63666918.09532996,59771253.109206825,72331590.60640495,77913790.62616876,99409024.43757918,103319407.40521562,100.0,100.0,0.0,0.00676,0.0,8561854.123160556,35742106.34224922,43548154.296008795,0.09298,0.08915,0.08184,0.07683,0.09298,0.10016,0.12779,0.13281,0.0,0.01101,0.04595,0.05598
1604770370.37037,028,Antigua and Barbuda,25135912.511,38725519.786,25135912.511,38725519.786,2.978865841543499,229.21312786516654,0.0,214.60420100932248,120129.07636491557,111378.83459870261,108413.2697880162,107121.63147552268,120129.07636491557,133436.31630545156,174291.04024474445,182745.81897025183,100.0,100.0,0.0,1e-05,0.0,22057.48170674895,65877.77045672825,75624.18749472915,0.00749,0.00694,0.00676,0.00668,0.00749,0.00831,0.01086,0.01139,0.0,0.00137,0.00411,0.00471
47112479289.4186,031,Azerbaijan,1572868662.758,2169901235.941,1572868662.758,2169901235.941,324.0362840730521,24942.19020585616,0.0,815968.4191327384,12724066.645184852,12114134.904214825,11021904.231772177,10633715.198944466,12724066.645184852,14003416.640392665,18018483.27848703,19005525.492508303,100.0,100.0,0.0,0.00173,0.0,1889281.7361778393,6996579.0467148535,8371810.293563837,0.02701,0.02571,0.02339,0.02257,0.02701,0.02972,0.03825,0.04034,0.0,0.00401,0.01485,0.01777
524819898586.906,032,Argentina,16151574166.366001,14509913370.515,16151574166.366001,14509913370.515,4394.7903579428685,339531.5409426182,0.0,10234866.507572448,212019938.50248626,208597932.65675938,179533935.70115972,175707000.47800618,212019938.50248626,233311572.5193248,281530531.77676487,299200990.2843271,100.0,100.0,0.0,0.00195,0.0,24713639.862565428,101996596.07560515,123493989.8063209,0.0404,0.03975,0.03421,0.03348,0.0404,0.04446,0.05364,0.05701,0.0,0.00471,0.01943,0.02353
1428266513154.48,036,Australia,90732171138.53099,125260832908.72,90732171138.53099,125260832908.72,23135.920125299264,1790035.433511775,0.0,13526793.085613878,1035346685.2367305,1006387126.3996955,890845750.554755,868754332.614992,1035346685.2367305,1153593533.2586493,1423842871.2342536,1502443534.7902274,100.0,100.0,0.0,0.00095,0.0,147206406.85895383,532997120.6794987,633689202.1752354,0.07249,0.07046,0.06237,0.06083,0.07249,0.08077,0.09969,0.10519,0.0,0.01031,0.03732,0.04437
454991174096.094,040,Austria,22145816526.161,29960922805.404,22145816526.161,29960922805.404,4290.696382317442,329199.830990136,0.0,71602638.32467562,178145580.66132468,170659802.0833841,155500445.49451306,151846473.91549516,178145580.66132468,196067345.16384518,244031598.7239942,258255571.0256492,100.0,100.0,0.0,0.01574,0.0,25407543.080461085,88531153.22948113,106409097.11015403,0.03915,0.03751,0.03418,0.03337,0.03915,0.04309,0.05363,0.05676,0.0,0.00558,0.01946,0.02339
12653600000.0,044,Bahamas,6439268304.609,2504716671.56,6439268304.609001,2504716671.56,600.5864839301197,45994.23278118228,0.0,88504.69822668063,24539060.627883244,23335837.322937146,21380262.220539425,20646922.599764485,24539060.627883244,25944776.83300213,33225055.65795381,34935140.118993714,100.0,100.0,0.0,0.0007,0.0,2608939.5100649856,11844793.437414385,14288217.51922923,0.19393,0.18442,0.16897,0.16317,0.19393,0.20504,0.26257,0.27609,0.0,0.02062,0.09361,0.11292
37802005319.1489,048,Bahrain,11343708336.757,4783967993.910001,11343708336.757,4783967993.910001,623.924399972102,48078.817140781226,0.0,26.2052982864036,18153353.631495785,17508507.43292522,15874707.06671691,15435544.179259146,18153353.631495785,19582486.195999783,24578665.8557181,25892590.941851504,100.0,100.0,0.0,0.0,0.0,2073978.763074562,8703958.78900119,10457046.762592359,0.04802,0.04632,0.04199,0.04083,0.04802,0.0518,0.06502,0.0685,0.0,0.00549,0.02303,0.02766
12457940705.3088,051,Armenia,360982888.22,267599487.088,360982888.22,267599487.088,56.95893093057866,4378.846214924429,0.0,208133.38012453102,2282023.3810164994,2215086.6114412406,1981649.4936198697,1925215.1546867446,2282023.3810164994,2564876.6844673543,3193137.6037223884,3369170.3436763417,100.0,100.0,0.0,0.00167,0.0,349790.0730261137,1211488.1101025187,1443955.1889895971,0.01832,0.01778,0.01591,0.01545,0.01832,0.02059,0.02563,0.02704,0.0,0.00281,0.00972,0.01159
5097283200.0,052,Barbados,858598379.936,521173920.319,858598379.936,521173920.319,177.59132786200266,13568.311977210335,0.0,146017.39135266544,7326376.81456496,7172716.003892045,6540479.081111848,6464969.103745372,7326376.81456496,8054285.029359177,9711943.71311234,10338217.350554498,100.0,100.0,0.0,0.00286,0.0,881569.0254671322,3171464.632000491,3873248.246809126,0.14373,0.14072,0.12831,0.12683,0.14373,0.15801,0.19053,0.20282,0.0,0.01729,0.06222,0.07599
