iso,country,country-code,year,gdp_per_c,Scenario
TJK,Tajikistan,762,2023,-0.0044532,SSP1-2.6
TJK,Tajikistan,762,2024,-0.0058415,SSP1-2.6
TJK,Tajikistan,762,2025,-0.0074313,SSP1-2.6
TJK,Tajikistan,762,2026,-0.0092231,SSP1-2.6
TJK,Tajikistan,762,2027,-0.01121699999999,SSP1-2.6
TJK,Tajikistan,762,2028,-0.0134131,SSP1-2.6
TJK,Tajikistan,762,2029,-0.0158113,SSP1-2.6
TJK,Tajikistan,762,2030,-0.0184115,SSP1-2.6
TJK,Tajikistan,762,2031,-0.0212134,SSP1-2.6
TJK,Tajikistan,762,2032,-0.024217,SSP1-2.6
TJK,Tajikistan,762,2033,-0.0274218,SSP1-2.6
TJK,Tajikistan,762,2034,-0.0308278,SSP1-2.6
TJK,Tajikistan,762,2035,-0.0344347,SSP1-2.6
TJK,Tajikistan,762,2036,-0.03824199999999,SSP1-2.6
TJK,Tajikistan,762,2037,-0.0422497,SSP1-2.6
TJK,Tajikistan,762,2038,-0.04645719999999,SSP1-2.6
TJK,Tajikistan,762,2039,-0.0508643,SSP1-2.6
TJK,Tajikistan,762,2040,-0.0554707,SSP1-2.6
TJK,Tajikistan,762,2041,-0.060276,SSP1-2.6
TJK,Tajikistan,762,2042,-0.0652797,SSP1-2.6
TJK,Tajikistan,762,2043,-0.0704816,SSP1-2.6
TJK,Tajikistan,762,2044,-0.07588109999999999,SSP1-2.6
TJK,Tajikistan,762,2045,-0.08147789999999999,SSP1-2.6
TJK,Tajikistan,762,2046,-0.0872715,SSP1-2.6
TJK,Tajikistan,762,2047,-0.09326149999998999,SSP1-2.6
TJK,Tajikistan,762,2048,-0.09944739999999999,SSP1-2.6
TJK,Tajikistan,762,2049,-0.1058287,SSP1-2.6
TJK,Tajikistan,762,2050,-0.1124049,SSP1-2.6
TJK,Tajikistan,762,2051,-0.1191754,SSP1-2.6
TJK,Tajikistan,762,2052,-0.1261398,SSP1-2.6
TJK,Tajikistan,762,2053,-0.13329759999999,SSP1-2.6
TJK,Tajikistan,762,2054,-0.1406481,SSP1-2.6
TJK,Tajikistan,762,2055,-0.1481908,SSP1-2.6
TJK,Tajikistan,762,2056,-0.155925,SSP1-2.6
TJK,Tajikistan,762,2057,-0.1638503,SSP1-2.6
TJK,Tajikistan,762,2058,-0.171966,SSP1-2.6
TJK,Tajikistan,762,2059,-0.1802715,SSP1-2.6
TJK,Tajikistan,762,2060,-0.1887661,SSP1-2.6
TJK,Tajikistan,762,2061,-0.19744910000000002,SSP1-2.6
TJK,Tajikistan,762,2062,-0.20631999999999998,SSP1-2.6
TJK,Tajikistan,762,2063,-0.2153781,SSP1-2.6
TJK,Tajikistan,762,2064,-0.2246225,SSP1-2.6
TJK,Tajikistan,762,2065,-0.23405269999999997,SSP1-2.6
TJK,Tajikistan,762,2066,-0.243668,SSP1-2.6
TJK,Tajikistan,762,2067,-0.2534674,SSP1-2.6
TJK,Tajikistan,762,2068,-0.2634506,SSP1-2.6
TJK,Tajikistan,762,2069,-0.2736165,SSP1-2.6
TJK,Tajikistan,762,2070,-0.2839645,SSP1-2.6
TJK,Tajikistan,762,2071,-0.29449369999999997,SSP1-2.6
TJK,Tajikistan,762,2072,-0.30520349999999996,SSP1-2.6
TJK,Tajikistan,762,2073,-0.3160929,SSP1-2.6
TJK,Tajikistan,762,2074,-0.3271613,SSP1-2.6
TJK,Tajikistan,762,2075,-0.3384078,SSP1-2.6
TJK,Tajikistan,762,2076,-0.3498314,SSP1-2.6
TJK,Tajikistan,762,2077,-0.3614314,SSP1-2.6
TJK,Tajikistan,762,2078,-0.3732071,SSP1-2.6
TJK,Tajikistan,762,2079,-0.3851574,SSP1-2.6
TJK,Tajikistan,762,2080,-0.39728159999999996,SSP1-2.6
TJK,Tajikistan,762,2081,-0.4095787,SSP1-2.6
TJK,Tajikistan,762,2082,-0.42204790000000003,SSP1-2.6
TJK,Tajikistan,762,2083,-0.43468819999999997,SSP1-2.6
TJK,Tajikistan,762,2084,-0.44749889999999,SSP1-2.6
TJK,Tajikistan,762,2085,-0.4604788,SSP1-2.6
TJK,Tajikistan,762,2086,-0.47362730000000003,SSP1-2.6
TJK,Tajikistan,762,2087,-0.4869432,SSP1-2.6
TJK,Tajikistan,762,2088,-0.5004257,SSP1-2.6
TJK,Tajikistan,762,2089,-0.5140738,SSP1-2.6
TJK,Tajikistan,762,2090,-0.5278866,SSP1-2.6
TJK,Tajikistan,762,2091,-0.5418631,SSP1-2.6
TJK,Tajikistan,762,2092,-0.5560022,SSP1-2.6
TJK,Tajikistan,762,2093,-0.5703031,SSP1-2.6
TJK,Tajikistan,762,2094,-0.5847647,SSP1-2.6
TJK,Tajikistan,762,2095,-0.5993860999999999,SSP1-2.6
TJK,Tajikistan,762,2096,-0.6141663,SSP1-2.6
TJK,Tajikistan,762,2097,-0.6291043,SSP1-2.6
TJK,Tajikistan,762,2098,-0.644199,SSP1-2.6
TJK,Tajikistan,762,2099,-0.65944939999999,SSP1-2.6
TJK,Tajikistan,762,2100,-0.67485459999999,SSP1-2.6
TJK,Tajikistan,762,2023,-0.011799,SSP2-4.5
TJK,Tajikistan,762,2024,-0.0155725,SSP2-4.5
TJK,Tajikistan,762,2025,-0.0199087,SSP2-4.5
TJK,Tajikistan,762,2026,-0.0248082,SSP2-4.5
TJK,Tajikistan,762,2027,-0.0302712,SSP2-4.5
TJK,Tajikistan,762,2028,-0.03629709999999,SSP2-4.5
TJK,Tajikistan,762,2029,-0.0428847,SSP2-4.5
TJK,Tajikistan,762,2030,-0.050032799999999995,SSP2-4.5
TJK,Tajikistan,762,2031,-0.05773989999999,SSP2-4.5
TJK,Tajikistan,762,2032,-0.0660044,SSP2-4.5
TJK,Tajikistan,762,2033,-0.0748245,SSP2-4.5
TJK,Tajikistan,762,2034,-0.0841983,SSP2-4.5
TJK,Tajikistan,762,2035,-0.0941235,SSP2-4.5
TJK,Tajikistan,762,2036,-0.1045982,SSP2-4.5
TJK,Tajikistan,762,2037,-0.11561989999999998,SSP2-4.5
TJK,Tajikistan,762,2038,-0.1271863,SSP2-4.5
TJK,Tajikistan,762,2039,-0.1392948,SSP2-4.5
TJK,Tajikistan,762,2040,-0.1519428,SSP2-4.5
TJK,Tajikistan,762,2041,-0.1651275,SSP2-4.5
TJK,Tajikistan,762,2042,-0.178846,SSP2-4.5
TJK,Tajikistan,762,2043,-0.1930956,SSP2-4.5
TJK,Tajikistan,762,2044,-0.2078729,SSP2-4.5
TJK,Tajikistan,762,2045,-0.22317499999999998,SSP2-4.5
TJK,Tajikistan,762,2046,-0.23899849999999997,SSP2-4.5
TJK,Tajikistan,762,2047,-0.2553402,SSP2-4.5
TJK,Tajikistan,762,2048,-0.2721964,SSP2-4.5
TJK,Tajikistan,762,2049,-0.2895637,SSP2-4.5
TJK,Tajikistan,762,2050,-0.3074384,SSP2-4.5
TJK,Tajikistan,762,2051,-0.3258168,SSP2-4.5
TJK,Tajikistan,762,2052,-0.34469509999999,SSP2-4.5
TJK,Tajikistan,762,2053,-0.3640694,SSP2-4.5
TJK,Tajikistan,762,2054,-0.3839357,SSP2-4.5
TJK,Tajikistan,762,2055,-0.4042899,SSP2-4.5
TJK,Tajikistan,762,2056,-0.4251281,SSP2-4.5
TJK,Tajikistan,762,2057,-0.44644589999999995,SSP2-4.5
TJK,Tajikistan,762,2058,-0.46823899999999996,SSP2-4.5
TJK,Tajikistan,762,2059,-0.49050320000000003,SSP2-4.5
TJK,Tajikistan,762,2060,-0.513234,SSP2-4.5
TJK,Tajikistan,762,2061,-0.5364268999999999,SSP2-4.5
TJK,Tajikistan,762,2062,-0.5600775,SSP2-4.5
TJK,Tajikistan,762,2063,-0.58418099999999,SSP2-4.5
TJK,Tajikistan,762,2064,-0.60873279999999,SSP2-4.5
TJK,Tajikistan,762,2065,-0.6337285,SSP2-4.5
TJK,Tajikistan,762,2066,-0.659163,SSP2-4.5
TJK,Tajikistan,762,2067,-0.68503159999999,SSP2-4.5
TJK,Tajikistan,762,2068,-0.71132969999999,SSP2-4.5
TJK,Tajikistan,762,2069,-0.7380521,SSP2-4.5
TJK,Tajikistan,762,2070,-0.765194,SSP2-4.5
TJK,Tajikistan,762,2071,-0.7927504,SSP2-4.5
TJK,Tajikistan,762,2072,-0.8207163999999999,SSP2-4.5
TJK,Tajikistan,762,2073,-0.8490869,SSP2-4.5
TJK,Tajikistan,762,2074,-0.8778569,SSP2-4.5
TJK,Tajikistan,762,2075,-0.9070213,SSP2-4.5
TJK,Tajikistan,762,2076,-0.9365751,SSP2-4.5
