,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
665,792,TÃ¼rkiye,008,Albania,29, Saturated acyclic hydrocarbons,711036.0,244.972,TÃ¼rkiye -  Saturated acyclic hydrocarbons
666,792,TÃ¼rkiye,008,Albania,82, Spades and shovels,706666.0,76.462,TÃ¼rkiye -  Spades and shovels
667,191,Croatia,008,Albania,11, Wheat or meslin flour,704456.0,1576.6009999999999,Croatia -  Wheat or meslin flour
668,688,Serbia,008,Albania,63, Electric blankets of textile material,698929.0,150.993,Serbia -  Electric blankets of textile material
669,208,Denmark,008,Albania,87, Pedestrian controlled tractors,696990.0,133.255,Denmark -  Pedestrian controlled tractors
670,203,Czechia,008,Albania,56," Sanitary towels, diapers and similar articles",695876.0,232.51000000000002,"Czechia -  Sanitary towels, diapers and similar articles"
671,490,"Other Asia, nes",008,Albania,85, Electric motors of an output < 37.5 watts,694275.0,23.643,"Other Asia, nes -  Electric motors of an output < 37.5 watts"
672,642,Romania,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,693523.0,1288.65,Romania -  Mineral and aerated waters not sweetened or flavoured
673,208,Denmark,008,Albania,94," Seats, aircraft",691916.0,159.07999999999998,"Denmark -  Seats, aircraft"
674,703,Slovakia,008,Albania,30," Glands and other organs, dried, for therapeutic uses",691826.0,0.155,"Slovakia -  Glands and other organs, dried, for therapeutic uses"
675,705,Slovenia,008,Albania,90," Optical fibres, except for telecommunications",690775.0,4.711,"Slovenia -  Optical fibres, except for telecommunications"
676,703,Slovakia,008,Albania,84, Nuclear reactors,688839.0,74.384,Slovakia -  Nuclear reactors
677,100,Bulgaria,008,Albania,21," Coffee extracts, essences, concentrates, preparations",688083.0,416.05400000000003,"Bulgaria -  Coffee extracts, essences, concentrates, preparations"
678,203,Czechia,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",686736.0,28.964,"Czechia -  Mens, boys overcoats, etc, of wool or hair, knit"
679,348,Hungary,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",686062.0,558.855,"Hungary -  Bovine carcasses and half carcasses, fresh or chilled"
680,826,United Kingdom,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",685440.0,464.331,"United Kingdom -  Bovine carcasses and half carcasses, fresh or chilled"
681,490,"Other Asia, nes",008,Albania,84, Nuclear reactors,685045.0,29.562,"Other Asia, nes -  Nuclear reactors"
682,156,China,008,Albania,34," Soaps, for toilet use, solid",684869.0,243.982,"China -  Soaps, for toilet use, solid"
683,100,Bulgaria,008,Albania,96," Worked ivory, articles of ivory",680830.0,18.047,"Bulgaria -  Worked ivory, articles of ivory"
684,300,Greece,008,Albania,10, Durum wheat,678740.0,1724.172,Greece -  Durum wheat
685,250,France,008,Albania,89," Cruise ships, excursion boats, ferry boats",678424.0,28.849,"France -  Cruise ships, excursion boats, ferry boats"
686,792,TÃ¼rkiye,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",677644.0,544.308,"TÃ¼rkiye -  Stone setts, curbstones, flagstones (except slate)"
687,348,Hungary,008,Albania,90," Optical fibres, except for telecommunications",676156.0,5.1690000000000005,"Hungary -  Optical fibres, except for telecommunications"
688,642,Romania,008,Albania,58," Woven pile fabric of wool or fine animal hair, w >30c",675909.0,41.995999999999995,"Romania -  Woven pile fabric of wool or fine animal hair, w >30c"
689,620,Portugal,008,Albania,87, Pedestrian controlled tractors,675636.0,22.018,Portugal -  Pedestrian controlled tractors
690,124,Canada,008,Albania,90," Optical fibres, except for telecommunications",672990.0,2.472,"Canada -  Optical fibres, except for telecommunications"
691,642,Romania,008,Albania,04, Milk not concentrated nor sweetened < 1% fat,672912.0,320.63399999999996,Romania -  Milk not concentrated nor sweetened < 1% fat
692,348,Hungary,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,672840.0,107.77799999999999,Hungary -  Polyethylene - specific gravity <0.94 in primary form
693,100,Bulgaria,008,Albania,83, Padlocks of base metal,671386.0,124.137,Bulgaria -  Padlocks of base metal
694,380,Italy,008,Albania,79," Zinc, not alloyed, unwrought, >99% pure",671307.0,79.951,"Italy -  Zinc, not alloyed, unwrought, >99% pure"
695,246,Finland,008,Albania,44, Fuel wood,670935.0,1534.614,Finland -  Fuel wood
696,203,Czechia,008,Albania,82, Spades and shovels,670693.0,13.179,Czechia -  Spades and shovels
697,702,Singapore,008,Albania,48, Newsprint,663982.0,726.75,Singapore -  Newsprint
698,380,Italy,008,Albania,50, Silk-worm cocoons suitable for reeling,663746.0,5.75,Italy -  Silk-worm cocoons suitable for reeling
699,578,Norway,008,Albania,73, Sheet piling of iron or steel,661185.0,184.009,Norway -  Sheet piling of iron or steel
700,348,Hungary,008,Albania,94," Seats, aircraft",659215.0,49.786,"Hungary -  Seats, aircraft"
701,250,France,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",657734.0,18.035,"France -  Mens, boys overcoats, etc, of wool or hair, knit"
702,756,Switzerland,008,Albania,85, Electric motors of an output < 37.5 watts,656536.0,11.693,Switzerland -  Electric motors of an output < 37.5 watts
703,300,Greece,008,Albania,52," Cotton, not carded or combed",653672.0,70.043,"Greece -  Cotton, not carded or combed"
704,040,Austria,008,Albania,73, Sheet piling of iron or steel,653333.0,50.724,Austria -  Sheet piling of iron or steel
705,250,France,008,Albania,52," Cotton, not carded or combed",653294.0,80.389,"France -  Cotton, not carded or combed"
