,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,008,Albania,724,Spain,178533764.866,510720.91624999995
1,008,Albania,380,Italy,109745125.91600001,118546.74146
2,008,Albania,807,North Macedonia,69737668.228,524400.945427
3,008,Albania,840,United States of America,48562112.289,15893.131135
4,008,Albania,276,Germany,45076303.929,11041.532365000001
5,008,Albania,499,Montenegro,44491706.18,389545.30271200003
6,008,Albania,250,France,21618321.258,8662.296917
7,008,Albania,156,China,18842036.939000003,68530.447861
8,008,Albania,688,Serbia,10110810.498,19629.88013
9,008,Albania,470,Malta,9434996.081,140880.74899999998
10,008,Albania,036,Australia,9034167.491,24084.116710999995
11,008,Albania,203,Czechia,8471169.47,2132.4249959999997
12,008,Albania,818,Egypt,8023165.324,13958.764041
13,008,Albania,392,Japan,6260076.795,3307.512249
14,008,Albania,040,Austria,5419670.552,3258.2556240000004
15,008,Albania,356,India,4336597.58,2200.7027909999997
16,008,Albania,792,Türkiye,4100355.0,7823.023999999999
17,008,Albania,300,Greece,4043142.1939999997,17394.626
18,008,Albania,100,Bulgaria,2977038.832,3195.869284
19,008,Albania,703,Slovakia,2797378.3040000005,1335.0108579999999
20,008,Albania,826,United Kingdom,2567109.915,1162.75295
