,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
144,792,Türkiye,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",1975013.677,213.45486,"Türkiye -  Mens, boys overcoats of wool or hair, not knit"
145,792,Türkiye,008,Albania,17," Raw sugar, cane",89346.043,210.0,"Türkiye -  Raw sugar, cane"
146,724,Spain,008,Albania,15," Lard, other pig fat and poultry fat, rendered",765865.91,209.38,"Spain -  Lard, other pig fat and poultry fat, rendered"
147,156,China,008,Albania,38, Artificial graphite,403261.663,208.6745,China -  Artificial graphite
148,380,Italy,008,Albania,05," Hair, human, unworked, waste of human hair",162188.319,207.631,"Italy -  Hair, human, unworked, waste of human hair"
149,724,Spain,008,Albania,87, Pedestrian controlled tractors,1057624.737,201.51951,Spain -  Pedestrian controlled tractors
150,380,Italy,008,Albania,55," Filament tow of nylon, polyamides",3207406.864,199.93714000000003,"Italy -  Filament tow of nylon, polyamides"
151,428,Latvia,008,Albania,27," Anthracite, not agglomerated",32396.898,198.325,"Latvia -  Anthracite, not agglomerated"
152,380,Italy,008,Albania,17," Raw sugar, cane",677925.226,190.4896,"Italy -  Raw sugar, cane"
153,724,Spain,008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",60443.473,185.355,"Spain -  Bulbs, tubers, corms, crowns and rhizomes, dormant"
154,724,Spain,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",306215.577,178.924,"Spain -  Animal or vegetable fertilizers, in packs >10 kg"
155,156,China,008,Albania,59, Gum or amylaceous covered textiles for book covers et,1059938.671,176.13657999999998,China -  Gum or amylaceous covered textiles for book covers et
156,188,Costa Rica,008,Albania,08," Coconuts, fresh or dried",171047.735,171.713539,"Costa Rica -  Coconuts, fresh or dried"
157,233,Estonia,008,Albania,27," Anthracite, not agglomerated",28270.639,168.09,"Estonia -  Anthracite, not agglomerated"
158,156,China,008,Albania,67," Bird skins and feathers, articles therefrom",753573.731,167.69235,"China -  Bird skins and feathers, articles therefrom"
159,380,Italy,008,Albania,12, Soya beans,329918.432,166.11937,Italy -  Soya beans
