,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
1464,410,Rep. of Korea,008,Albania,73, Sheet piling of iron or steel,157234.0,11.932,Rep. of Korea -  Sheet piling of iron or steel
1465,276,Germany,008,Albania,95," Rideable wheeled toys, dolls carriages",246007.0,11.921000000000001,"Germany -  Rideable wheeled toys, dolls carriages"
1466,688,Serbia,008,Albania,82, Spades and shovels,108206.0,11.768,Serbia -  Spades and shovels
1467,372,Ireland,008,Albania,85, Electric motors of an output < 37.5 watts,2841527.0,11.756,Ireland -  Electric motors of an output < 37.5 watts
1468,756,Switzerland,008,Albania,85, Electric motors of an output < 37.5 watts,656536.0,11.693,Switzerland -  Electric motors of an output < 37.5 watts
1469,056,Belgium,008,Albania,73, Sheet piling of iron or steel,39424.0,11.644,Belgium -  Sheet piling of iron or steel
1470,208,Denmark,008,Albania,12, Soya beans,41946.0,11.579999999999998,Denmark -  Soya beans
1471,586,Pakistan,008,Albania,17," Raw sugar, cane",32421.0,11.574,"Pakistan -  Raw sugar, cane"
1472,276,Germany,008,Albania,86," Rail locomotives, externally electrically powered",52880.0,11.562000000000001,"Germany -  Rail locomotives, externally electrically powered"
1473,070,Bosnia Herzegovina,008,Albania,35, Casein,1410.0,11.413,Bosnia Herzegovina -  Casein
1474,752,Sweden,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,200935.0,11.325,Sweden -  Polyethylene - specific gravity <0.94 in primary form
1475,703,Slovakia,008,Albania,95," Rideable wheeled toys, dolls carriages",212572.0,11.3,"Slovakia -  Rideable wheeled toys, dolls carriages"
1476,807,North Macedonia,008,Albania,40," Natural rubber latex, including prevulcanised",72916.0,11.258000000000001,"North Macedonia -  Natural rubber latex, including prevulcanised"
1477,705,Slovenia,008,Albania,96," Worked ivory, articles of ivory",123306.0,11.206999999999999,"Slovenia -  Worked ivory, articles of ivory"
1478,040,Austria,008,Albania,95," Rideable wheeled toys, dolls carriages",571581.0,11.187,"Austria -  Rideable wheeled toys, dolls carriages"
1479,826,United Kingdom,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",69699.0,11.164,"United Kingdom -  Mens, boys overcoats, etc, of wool or hair, knit"
1480,616,Poland,008,Albania,54, Sewing thread of synthetic filaments,254090.0,11.115,Poland -  Sewing thread of synthetic filaments
1481,070,Bosnia Herzegovina,008,Albania,18," Cocoa beans, whole or broken, raw or roasted",80727.0,11.065,"Bosnia Herzegovina -  Cocoa beans, whole or broken, raw or roasted"
1482,752,Sweden,008,Albania,30," Glands and other organs, dried, for therapeutic uses",32487.0,11.040000000000001,"Sweden -  Glands and other organs, dried, for therapeutic uses"
1483,276,Germany,008,Albania,46, Plaits and products of plaiting materials,21479.0,11.025,Germany -  Plaits and products of plaiting materials
1484,792,TÃ¼rkiye,008,Albania,93," Military weapons, other than hand guns, swords, etc",80303.0,11.014000000000001,"TÃ¼rkiye -  Military weapons, other than hand guns, swords, etc"
1485,724,Spain,008,Albania,96," Worked ivory, articles of ivory",197149.0,10.997,"Spain -  Worked ivory, articles of ivory"
1486,348,Hungary,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",8035.0,10.947,"Hungary -  Animal or vegetable fertilizers, in packs >10 kg"
1487,705,Slovenia,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",22492.0,10.905,"Slovenia -  Flour or meal, pellet of meat or offal for animal fee"
1488,442,Luxembourg,008,Albania,87, Pedestrian controlled tractors,40227.0,10.815999999999999,Luxembourg -  Pedestrian controlled tractors
1489,040,Austria,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",58960.0,10.696,"Austria -  Pig iron, non-alloy, <0.5% phosphorus"
1490,348,Hungary,008,Albania,35, Casein,110737.0,10.692,Hungary -  Casein
1491,620,Portugal,008,Albania,73, Sheet piling of iron or steel,92438.0,10.652000000000001,Portugal -  Sheet piling of iron or steel
1492,208,Denmark,008,Albania,85, Electric motors of an output < 37.5 watts,352697.0,10.61,Denmark -  Electric motors of an output < 37.5 watts
1493,620,Portugal,008,Albania,70," Glass cullet, waste or scrap, glass in the mass",18362.0,10.607999999999999,"Portugal -  Glass cullet, waste or scrap, glass in the mass"
