,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
1391,008,Albania,578,Norway,48, Newsprint,4941.0,0.383,Norway -  Newsprint
1392,008,Albania,591,Panama,61," Mens, boys overcoats, etc, of wool or hair, knit",16408.0,0.382,"Panama -  Mens, boys overcoats, etc, of wool or hair, knit"
1393,008,Albania,024,Angola,73, Sheet piling of iron or steel,10296.0,0.378,Angola -  Sheet piling of iron or steel
1394,008,Albania,604,Peru,90," Optical fibres, except for telecommunications",89517.0,0.37400000000000005,"Peru -  Optical fibres, except for telecommunications"
1395,008,Albania,024,Angola,17," Raw sugar, cane",1385.0,0.368,"Angola -  Raw sugar, cane"
1396,008,Albania,024,Angola,22, Mineral and aerated waters not sweetened or flavoured,502.0,0.368,Angola -  Mineral and aerated waters not sweetened or flavoured
1397,008,Albania,024,Angola,20," Cucumbers,gherkins, prepared or preserved by vinegar",1912.0,0.368,"Angola -  Cucumbers,gherkins, prepared or preserved by vinegar"
1398,008,Albania,024,Angola,19," Infant foods of cereals, flour, starch or milk, retai",1575.0,0.368,"Angola -  Infant foods of cereals, flour, starch or milk, retai"
1399,008,Albania,203,Czechia,18," Cocoa beans, whole or broken, raw or roasted",2334.0,0.366,"Czechia -  Cocoa beans, whole or broken, raw or roasted"
1400,008,Albania,203,Czechia,59, Gum or amylaceous covered textiles for book covers et,1486.0,0.366,Czechia -  Gum or amylaceous covered textiles for book covers et
1401,008,Albania,554,New Zealand,85, Electric motors of an output < 37.5 watts,18653.0,0.363,New Zealand -  Electric motors of an output < 37.5 watts
1402,008,Albania,703,Slovakia,84, Nuclear reactors,8461.0,0.354,Slovakia -  Nuclear reactors
1403,008,Albania,203,Czechia,56," Sanitary towels, diapers and similar articles",8333.0,0.349,"Czechia -  Sanitary towels, diapers and similar articles"
1404,008,Albania,380,Italy,23," Flour or meal, pellet of meat or offal for animal fee",3448.0,0.342,"Italy -  Flour or meal, pellet of meat or offal for animal fee"
1405,008,Albania,100,Bulgaria,49," Brochures, leaflets and similar, in single sheets",100008.0,0.341,"Bulgaria -  Brochures, leaflets and similar, in single sheets"
1406,008,Albania,840,USA,16," Sausages, similar products of meat, meat offal & bloo",12627.0,0.34,"USA -  Sausages, similar products of meat, meat offal & bloo"
1407,008,Albania,724,Spain,90," Optical fibres, except for telecommunications",108222.0,0.339,"Spain -  Optical fibres, except for telecommunications"
1408,008,Albania,756,Switzerland,63, Electric blankets of textile material,2912.0,0.337,Switzerland -  Electric blankets of textile material
1409,008,Albania,470,Malta,62," Mens, boys overcoats of wool or hair, not knit",344.0,0.336,"Malta -  Mens, boys overcoats of wool or hair, not knit"
1410,008,Albania,512,Oman,62," Mens, boys overcoats of wool or hair, not knit",34484.0,0.335,"Oman -  Mens, boys overcoats of wool or hair, not knit"
1411,008,Albania,300,Greece,71," Pearls natural, not permanently mounted or set",5014.0,0.33,"Greece -  Pearls natural, not permanently mounted or set"
1412,008,Albania,380,Italy,67," Bird skins and feathers, articles therefrom",5261.0,0.328,"Italy -  Bird skins and feathers, articles therefrom"
1413,008,Albania,152,Chile,84, Nuclear reactors,5604.0,0.32700000000000007,Chile -  Nuclear reactors
1414,008,Albania,250,France,90," Optical fibres, except for telecommunications",81365.0,0.326,"France -  Optical fibres, except for telecommunications"
1415,008,Albania,422,Lebanon,33, Essential oils of bergamot,1549.0,0.325,Lebanon -  Essential oils of bergamot
1416,008,Albania,191,Croatia,48, Newsprint,1696.0,0.325,Croatia -  Newsprint
1417,008,Albania,156,China,44, Fuel wood,109.0,0.325,China -  Fuel wood
1418,008,Albania,480,Mauritius,94," Seats, aircraft",127.0,0.323,"Mauritius -  Seats, aircraft"
1419,008,Albania,688,Serbia,40," Natural rubber latex, including prevulcanised",422.0,0.321,"Serbia -  Natural rubber latex, including prevulcanised"
1420,008,Albania,268,Georgia,38, Artificial graphite,332.0,0.32,Georgia -  Artificial graphite
1421,008,Albania,703,Slovakia,33, Essential oils of bergamot,13508.0,0.317,Slovakia -  Essential oils of bergamot
1422,008,Albania,642,Romania,96," Worked ivory, articles of ivory",5823.0,0.315,"Romania -  Worked ivory, articles of ivory"
1423,008,Albania,643,Russian Federation,83, Padlocks of base metal,3889.0,0.315,Russian Federation -  Padlocks of base metal
1424,008,Albania,040,Austria,52," Cotton, not carded or combed",7688.0,0.315,"Austria -  Cotton, not carded or combed"
1425,008,Albania,840,USA,55," Filament tow of nylon, polyamides",22178.0,0.314,"USA -  Filament tow of nylon, polyamides"
1426,008,Albania,466,Mali,85, Electric motors of an output < 37.5 watts,2038.0,0.314,Mali -  Electric motors of an output < 37.5 watts
1427,008,Albania,100,Bulgaria,41," Bovine skins, whole, raw",7115.0,0.314,"Bulgaria -  Bovine skins, whole, raw"
1428,008,Albania,414,Kuwait,48, Newsprint,5179.0,0.313,Kuwait -  Newsprint
1429,008,Albania,724,Spain,38, Artificial graphite,1381.0,0.313,Spain -  Artificial graphite
1430,008,Albania,036,Australia,42," Saddlery and harness, of any material",18260.0,0.312,"Australia -  Saddlery and harness, of any material"
1431,008,Albania,792,TÃ¼rkiye,56," Sanitary towels, diapers and similar articles",26770.0,0.311,"TÃ¼rkiye -  Sanitary towels, diapers and similar articles"
1432,008,Albania,076,Brazil,94," Seats, aircraft",10152.0,0.31000000000000005,"Brazil -  Seats, aircraft"
1433,008,Albania,688,Serbia,90," Optical fibres, except for telecommunications",25142.0,0.31,"Serbia -  Optical fibres, except for telecommunications"
1434,008,Albania,156,China,07," Potatoes seed, fresh or chilled",3498.0,0.31,"China -  Potatoes seed, fresh or chilled"
