,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
652,008,Albania,826,United Kingdom,27," Anthracite, not agglomerated",12922.687,7.7085680000000005,"United Kingdom -  Anthracite, not agglomerated"
653,008,Albania,566,Nigeria,73, Sheet piling of iron or steel,12755.719,10.0,Nigeria -  Sheet piling of iron or steel
654,008,Albania,276,Germany,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",12693.167,10.604233,"Germany -  Bulbs, tubers, corms, crowns and rhizomes, dormant"
655,008,Albania,360,Indonesia,85, Electric motors of an output < 37.5 watts,12592.259,0.14226499999999997,Indonesia -  Electric motors of an output < 37.5 watts
656,008,Albania,566,Nigeria,87, Pedestrian controlled tractors,12586.195,27.429,Nigeria -  Pedestrian controlled tractors
657,008,Albania,056,Belgium,33, Essential oils of bergamot,12575.509,0.167328,Belgium -  Essential oils of bergamot
658,008,Albania,804,Ukraine,73, Sheet piling of iron or steel,12514.497,5.7511589999999995,Ukraine -  Sheet piling of iron or steel
659,008,Albania,100,Bulgaria,19," Infant foods of cereals, flour, starch or milk, retai",12472.168,5.837701,"Bulgaria -  Infant foods of cereals, flour, starch or milk, retai"
660,008,Albania,250,France,95," Rideable wheeled toys, dolls carriages",12374.461,1.1026099999999999,"France -  Rideable wheeled toys, dolls carriages"
661,008,Albania,191,Croatia,16," Sausages, similar products of meat, meat offal & bloo",12249.996,1.4679259999999998,"Croatia -  Sausages, similar products of meat, meat offal & bloo"
662,008,Albania,804,Ukraine,48, Newsprint,12191.185,0.980043,Ukraine -  Newsprint
663,008,Albania,040,Austria,94," Seats, aircraft",12163.337,4.685770000000001,"Austria -  Seats, aircraft"
664,008,Albania,191,Croatia,22, Mineral and aerated waters not sweetened or flavoured,12147.052,2.6905949999999996,Croatia -  Mineral and aerated waters not sweetened or flavoured
665,008,Albania,031,Azerbaijan,32, Quebracho tanning extract,12086.188,4.993028000000001,Azerbaijan -  Quebracho tanning extract
666,008,Albania,826,United Kingdom,76," Aluminium unwrought, not alloyed",12049.267,2.90125,"United Kingdom -  Aluminium unwrought, not alloyed"
667,008,Albania,410,"Korea, Republic of",16," Sausages, similar products of meat, meat offal & bloo",11952.148,1.0717249999999998,"Korea, Republic of -  Sausages, similar products of meat, meat offal & bloo"
668,008,Albania,682,Saudi Arabia,12, Soya beans,11930.482,6.485118000000001,Saudi Arabia -  Soya beans
669,008,Albania,191,Croatia,09," Coffee, not roasted, not decaffeinated",11910.155,4.336348,"Croatia -  Coffee, not roasted, not decaffeinated"
670,008,Albania,608,Philippines,39, Polyethylene - specific gravity <0.94 in primary form,11784.599,0.851715,Philippines -  Polyethylene - specific gravity <0.94 in primary form
671,008,Albania,703,Slovakia,68," Stone setts, curbstones, flagstones (except slate)",11727.309,23.085,"Slovakia -  Stone setts, curbstones, flagstones (except slate)"
672,008,Albania,688,Serbia,33, Essential oils of bergamot,11709.445,14.671999,Serbia -  Essential oils of bergamot
673,008,Albania,036,Australia,22, Mineral and aerated waters not sweetened or flavoured,11568.527,40.432583,Australia -  Mineral and aerated waters not sweetened or flavoured
674,008,Albania,246,Finland,85, Electric motors of an output < 37.5 watts,11511.438,0.692,Finland -  Electric motors of an output < 37.5 watts
675,008,Albania,616,Poland,09," Coffee, not roasted, not decaffeinated",11457.812,2.40396,"Poland -  Coffee, not roasted, not decaffeinated"
676,008,Albania,356,India,76," Aluminium unwrought, not alloyed",11438.475,0.84084,"India -  Aluminium unwrought, not alloyed"
677,008,Albania,634,Qatar,94," Seats, aircraft",11437.503,1.0591890000000002,"Qatar -  Seats, aircraft"
678,008,Albania,504,Morocco,48, Newsprint,11380.947,0.8280489999999999,Morocco -  Newsprint
679,008,Albania,218,Ecuador,62," Mens, boys overcoats of wool or hair, not knit",11379.78,0.04913,"Ecuador -  Mens, boys overcoats of wool or hair, not knit"
