,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
150,392,Japan,008,Albania,84, Nuclear reactors,492928.861,124.139713,Japan -  Nuclear reactors
151,380,Italy,008,Albania,50, Silk-worm cocoons suitable for reeling,488535.22,2.40069,Italy -  Silk-worm cocoons suitable for reeling
152,792,Türkiye,008,Albania,54, Sewing thread of synthetic filaments,484021.653,23.30441,Türkiye -  Sewing thread of synthetic filaments
153,156,China,008,Albania,30," Glands and other organs, dried, for therapeutic uses",463553.136,72.19441,"China -  Glands and other organs, dried, for therapeutic uses"
154,156,China,008,Albania,29, Saturated acyclic hydrocarbons,451998.054,349.903,China -  Saturated acyclic hydrocarbons
155,724,Spain,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",437892.801,1447.524,"Spain -  Stone setts, curbstones, flagstones (except slate)"
156,032,Argentina,008,Albania,08," Coconuts, fresh or dried",432144.74,587.66694,"Argentina -  Coconuts, fresh or dried"
157,156,China,008,Albania,38, Artificial graphite,403261.663,208.6745,China -  Artificial graphite
158,156,China,008,Albania,58," Woven pile fabric of wool or fine animal hair, w >30c",388307.04,48.83484,"China -  Woven pile fabric of wool or fine animal hair, w >30c"
159,170,Colombia,008,Albania,08," Coconuts, fresh or dried",383428.599,723.514491,"Colombia -  Coconuts, fresh or dried"
160,826,United Kingdom,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",365092.235,409.135,"United Kingdom -  Bovine carcasses and half carcasses, fresh or chilled"
161,792,Türkiye,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",352139.796,825.866,"Türkiye -  Animal or vegetable fertilizers, in packs >10 kg"
162,764,Thailand,008,Albania,84, Nuclear reactors,341861.565,32.5462,Thailand -  Nuclear reactors
163,360,Indonesia,008,Albania,15," Lard, other pig fat and poultry fat, rendered",341496.753,489.28,"Indonesia -  Lard, other pig fat and poultry fat, rendered"
164,156,China,008,Albania,55," Filament tow of nylon, polyamides",336951.492,323.2856,"China -  Filament tow of nylon, polyamides"
165,528,Netherlands (Kingdom of the),008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",335380.867,134.35,"Netherlands (Kingdom of the) -  Bulbs, tubers, corms, crowns and rhizomes, dormant"
166,156,China,008,Albania,56," Sanitary towels, diapers and similar articles",332901.111,149.31292000000002,"China -  Sanitary towels, diapers and similar articles"
167,380,Italy,008,Albania,12, Soya beans,329918.432,166.11937,Italy -  Soya beans
168,792,Türkiye,008,Albania,03," Ornamental fish, live",329079.487,8.25,"Türkiye -  Ornamental fish, live"
169,792,Türkiye,008,Albania,96," Worked ivory, articles of ivory",328952.451,90.32735000000001,"Türkiye -  Worked ivory, articles of ivory"
170,032,Argentina,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",319519.242,1154.8222420000002,"Argentina -  Flour or meal, pellet of meat or offal for animal fee"
171,840,United States of America,008,Albania,33, Essential oils of bergamot,317884.004,12.745129,United States of America -  Essential oils of bergamot
172,724,Spain,008,Albania,84, Nuclear reactors,316885.391,87.913,Spain -  Nuclear reactors
173,156,China,008,Albania,32, Quebracho tanning extract,313420.46,100.13694,China -  Quebracho tanning extract
174,458,Malaysia,008,Albania,40," Natural rubber latex, including prevulcanised",311360.189,83.11362,"Malaysia -  Natural rubber latex, including prevulcanised"
175,724,Spain,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",306215.577,178.924,"Spain -  Animal or vegetable fertilizers, in packs >10 kg"
