iso,country,country-code,year,gdp_per_c
SUR,Suriname,740,2023,-0.009647600000000001
SUR,Suriname,740,2024,-0.0114144
SUR,Suriname,740,2025,-0.013230799999989998
SUR,Suriname,740,2026,-0.0150934
SUR,Suriname,740,2027,-0.0170003
SUR,Suriname,740,2028,-0.0189506
SUR,Suriname,740,2029,-0.02094369999999
SUR,Suriname,740,2030,-0.0229791
SUR,Suriname,740,2031,-0.025056500000000002
SUR,Suriname,740,2032,-0.0271759
SUR,Suriname,740,2033,-0.0293371
SUR,Suriname,740,2034,-0.03153999999999
SUR,Suriname,740,2035,-0.0337846
SUR,Suriname,740,2036,-0.0360708
SUR,Suriname,740,2037,-0.0383984
SUR,Suriname,740,2038,-0.0407674
SUR,Suriname,740,2039,-0.0431778
SUR,Suriname,740,2040,-0.04562959999999
SUR,Suriname,740,2041,-0.0481225
SUR,Suriname,740,2042,-0.050656599999999996
SUR,Suriname,740,2043,-0.0532318
SUR,Suriname,740,2044,-0.055847999999999995
SUR,Suriname,740,2045,-0.0585051
SUR,Suriname,740,2046,-0.061203099999999996
SUR,Suriname,740,2047,-0.0639419
SUR,Suriname,740,2048,-0.0667214
SUR,Suriname,740,2049,-0.06954159999998999
SUR,Suriname,740,2050,-0.0724023
SUR,Suriname,740,2051,-0.0753035
SUR,Suriname,740,2052,-0.0782451
SUR,Suriname,740,2053,-0.08122699999999
SUR,Suriname,740,2054,-0.08424919999998999
SUR,Suriname,740,2055,-0.0873115
SUR,Suriname,740,2056,-0.09041389999999999
SUR,Suriname,740,2057,-0.09355629999999
SUR,Suriname,740,2058,-0.0967386
SUR,Suriname,740,2059,-0.0999607
SUR,Suriname,740,2060,-0.1032225
SUR,Suriname,740,2061,-0.10652399999999002
SUR,Suriname,740,2062,-0.109865
SUR,Suriname,740,2063,-0.11324550000000001
SUR,Suriname,740,2064,-0.1166654
SUR,Suriname,740,2065,-0.1201246
SUR,Suriname,740,2066,-0.1236229
SUR,Suriname,740,2067,-0.1271603
SUR,Suriname,740,2068,-0.1307368
SUR,Suriname,740,2069,-0.1343521
SUR,Suriname,740,2070,-0.1380062
SUR,Suriname,740,2071,-0.141699
SUR,Suriname,740,2072,-0.14543039999999
SUR,Suriname,740,2073,-0.14920039999999998
SUR,Suriname,740,2074,-0.1530088
SUR,Suriname,740,2075,-0.1568554
SUR,Suriname,740,2076,-0.1607403
SUR,Suriname,740,2077,-0.1646633
SUR,Suriname,740,2078,-0.1686242
SUR,Suriname,740,2079,-0.1726231
SUR,Suriname,740,2080,-0.1766597
SUR,Suriname,740,2081,-0.1807341
SUR,Suriname,740,2082,-0.18484599999999998
SUR,Suriname,740,2083,-0.1889955
SUR,Suriname,740,2084,-0.1931822
SUR,Suriname,740,2085,-0.1974062
SUR,Suriname,740,2086,-0.2016674
SUR,Suriname,740,2087,-0.2059656
SUR,Suriname,740,2088,-0.2103007
SUR,Suriname,740,2089,-0.2146726
SUR,Suriname,740,2090,-0.21908119999999998
SUR,Suriname,740,2091,-0.2235264
SUR,Suriname,740,2092,-0.22800809999999
SUR,Suriname,740,2093,-0.2325262
SUR,Suriname,740,2094,-0.23708050000000003
SUR,Suriname,740,2095,-0.24167080000000002
SUR,Suriname,740,2096,-0.2462972
SUR,Suriname,740,2097,-0.2509595
SUR,Suriname,740,2098,-0.25565759999999
SUR,Suriname,740,2099,-0.2603914
SUR,Suriname,740,2100,-0.26516059999999997
