iso,country,country-code,year,gdp_per_c,Scenario
UZB,Uzbekistan,860,2023,0.034333999999999996,SSP1-2.6
UZB,Uzbekistan,860,2024,0.0399881,SSP1-2.6
UZB,Uzbekistan,860,2025,0.04562059999999,SSP1-2.6
UZB,Uzbekistan,860,2026,0.05121769999999,SSP1-2.6
UZB,Uzbekistan,860,2027,0.05677179999999,SSP1-2.6
UZB,Uzbekistan,860,2028,0.0622783,SSP1-2.6
UZB,Uzbekistan,860,2029,0.06773479999998999,SSP1-2.6
UZB,Uzbekistan,860,2030,0.07313979999999999,SSP1-2.6
UZB,Uzbekistan,860,2031,0.0784923,SSP1-2.6
UZB,Uzbekistan,860,2032,0.0837919,SSP1-2.6
UZB,Uzbekistan,860,2033,0.0890382,SSP1-2.6
UZB,Uzbekistan,860,2034,0.09423099999998999,SSP1-2.6
UZB,Uzbekistan,860,2035,0.0993701,SSP1-2.6
UZB,Uzbekistan,860,2036,0.10445529999999999,SSP1-2.6
UZB,Uzbekistan,860,2037,0.1094867,SSP1-2.6
UZB,Uzbekistan,860,2038,0.114464,SSP1-2.6
UZB,Uzbekistan,860,2039,0.1193871,SSP1-2.6
UZB,Uzbekistan,860,2040,0.1242559,SSP1-2.6
UZB,Uzbekistan,860,2041,0.1290704,SSP1-2.6
UZB,Uzbekistan,860,2042,0.13383039999999,SSP1-2.6
UZB,Uzbekistan,860,2043,0.13853589999999,SSP1-2.6
UZB,Uzbekistan,860,2044,0.14318689999999998,SSP1-2.6
UZB,Uzbekistan,860,2045,0.1477831,SSP1-2.6
UZB,Uzbekistan,860,2046,0.1523246,SSP1-2.6
UZB,Uzbekistan,860,2047,0.15681119999999998,SSP1-2.6
UZB,Uzbekistan,860,2048,0.16124289999999,SSP1-2.6
UZB,Uzbekistan,860,2049,0.1656195,SSP1-2.6
UZB,Uzbekistan,860,2050,0.16994099999999998,SSP1-2.6
UZB,Uzbekistan,860,2051,0.1742073,SSP1-2.6
UZB,Uzbekistan,860,2052,0.1784183,SSP1-2.6
UZB,Uzbekistan,860,2053,0.182574,SSP1-2.6
UZB,Uzbekistan,860,2054,0.1866743,SSP1-2.6
UZB,Uzbekistan,860,2055,0.1907191,SSP1-2.6
UZB,Uzbekistan,860,2056,0.1947083,SSP1-2.6
UZB,Uzbekistan,860,2057,0.1986419,SSP1-2.6
UZB,Uzbekistan,860,2058,0.20251980000000003,SSP1-2.6
UZB,Uzbekistan,860,2059,0.2063419,SSP1-2.6
UZB,Uzbekistan,860,2060,0.2101081,SSP1-2.6
UZB,Uzbekistan,860,2061,0.21381830000000002,SSP1-2.6
UZB,Uzbekistan,860,2062,0.21747260000000002,SSP1-2.6
UZB,Uzbekistan,860,2063,0.2210708,SSP1-2.6
UZB,Uzbekistan,860,2064,0.2246129,SSP1-2.6
UZB,Uzbekistan,860,2065,0.2280987,SSP1-2.6
UZB,Uzbekistan,860,2066,0.2315283,SSP1-2.6
UZB,Uzbekistan,860,2067,0.23490159999999,SSP1-2.6
UZB,Uzbekistan,860,2068,0.2382184,SSP1-2.6
UZB,Uzbekistan,860,2069,0.24147879999999,SSP1-2.6
UZB,Uzbekistan,860,2070,0.2446827,SSP1-2.6
UZB,Uzbekistan,860,2071,0.24783000000000002,SSP1-2.6
UZB,Uzbekistan,860,2072,0.2509207,SSP1-2.6
UZB,Uzbekistan,860,2073,0.25395459999999,SSP1-2.6
UZB,Uzbekistan,860,2074,0.25693179999999,SSP1-2.6
UZB,Uzbekistan,860,2075,0.2598521,SSP1-2.6
UZB,Uzbekistan,860,2076,0.26271569999999,SSP1-2.6
UZB,Uzbekistan,860,2077,0.2655222,SSP1-2.6
UZB,Uzbekistan,860,2078,0.2682718,SSP1-2.6
UZB,Uzbekistan,860,2079,0.27096439999999,SSP1-2.6
UZB,Uzbekistan,860,2080,0.2735999,SSP1-2.6
UZB,Uzbekistan,860,2081,0.2761783,SSP1-2.6
UZB,Uzbekistan,860,2082,0.2786995,SSP1-2.6
UZB,Uzbekistan,860,2083,0.2811635,SSP1-2.6
UZB,Uzbekistan,860,2084,0.2835703,SSP1-2.6
UZB,Uzbekistan,860,2085,0.2859197,SSP1-2.6
UZB,Uzbekistan,860,2086,0.2882117,SSP1-2.6
UZB,Uzbekistan,860,2087,0.2904463,SSP1-2.6
UZB,Uzbekistan,860,2088,0.29262349999999,SSP1-2.6
UZB,Uzbekistan,860,2089,0.2947431,SSP1-2.6
UZB,Uzbekistan,860,2090,0.2968054,SSP1-2.6
UZB,Uzbekistan,860,2091,0.2988099,SSP1-2.6
UZB,Uzbekistan,860,2092,0.3007569,SSP1-2.6
UZB,Uzbekistan,860,2093,0.30264619999999,SSP1-2.6
UZB,Uzbekistan,860,2094,0.3044779,SSP1-2.6
UZB,Uzbekistan,860,2095,0.3062518,SSP1-2.6
UZB,Uzbekistan,860,2096,0.30796809999999997,SSP1-2.6
UZB,Uzbekistan,860,2097,0.30962649999999997,SSP1-2.6
UZB,Uzbekistan,860,2098,0.3112271,SSP1-2.6
UZB,Uzbekistan,860,2099,0.3127699,SSP1-2.6
UZB,Uzbekistan,860,2100,0.3142548,SSP1-2.6
UZB,Uzbekistan,860,2023,-0.02042659999999,SSP2-4.5
UZB,Uzbekistan,860,2024,-0.0239404,SSP2-4.5
UZB,Uzbekistan,860,2025,-0.027488399999999996,SSP2-4.5
UZB,Uzbekistan,860,2026,-0.0310628,SSP2-4.5
UZB,Uzbekistan,860,2027,-0.0346595,SSP2-4.5
UZB,Uzbekistan,860,2028,-0.0382759,SSP2-4.5
UZB,Uzbekistan,860,2029,-0.04191079999999,SSP2-4.5
UZB,Uzbekistan,860,2030,-0.0455633,SSP2-4.5
UZB,Uzbekistan,860,2031,-0.049233,SSP2-4.5
UZB,Uzbekistan,860,2032,-0.0529196,SSP2-4.5
UZB,Uzbekistan,860,2033,-0.05662300000000001,SSP2-4.5
UZB,Uzbekistan,860,2034,-0.060342999999999994,SSP2-4.5
UZB,Uzbekistan,860,2035,-0.0640797,SSP2-4.5
UZB,Uzbekistan,860,2036,-0.0678329,SSP2-4.5
UZB,Uzbekistan,860,2037,-0.0716026,SSP2-4.5
UZB,Uzbekistan,860,2038,-0.07538879999999999,SSP2-4.5
UZB,Uzbekistan,860,2039,-0.07919139999999,SSP2-4.5
UZB,Uzbekistan,860,2040,-0.0830105,SSP2-4.5
UZB,Uzbekistan,860,2041,-0.086846,SSP2-4.5
UZB,Uzbekistan,860,2042,-0.0906979,SSP2-4.5
UZB,Uzbekistan,860,2043,-0.0945662,SSP2-4.5
UZB,Uzbekistan,860,2044,-0.0984508,SSP2-4.5
UZB,Uzbekistan,860,2045,-0.1023517,SSP2-4.5
UZB,Uzbekistan,860,2046,-0.10626889999999999,SSP2-4.5
