iso,country,country-code,year,gdp_per_c
PYF,French Polynesia,258,2023,0.1506036
PYF,French Polynesia,258,2024,0.1751162
PYF,French Polynesia,258,2025,0.19942889999999996
PYF,French Polynesia,258,2026,0.2234729
PYF,French Polynesia,258,2027,0.24720720000000002
PYF,French Polynesia,258,2028,0.27060509999999
PYF,French Polynesia,258,2029,0.29364839999999
PYF,French Polynesia,258,2030,0.3163235
PYF,French Polynesia,258,2031,0.3386196
PYF,French Polynesia,258,2032,0.3605272
PYF,French Polynesia,258,2033,0.38203779999999
PYF,French Polynesia,258,2034,0.40314360000000005
PYF,French Polynesia,258,2035,0.423837
PYF,French Polynesia,258,2036,0.4441104
PYF,French Polynesia,258,2037,0.46395660000000005
PYF,French Polynesia,258,2038,0.4833685
PYF,French Polynesia,258,2039,0.5023388999999999
PYF,French Polynesia,258,2040,0.5208610999999901
PYF,French Polynesia,258,2041,0.538928
PYF,French Polynesia,258,2042,0.5565329
PYF,French Polynesia,258,2043,0.5736693
PYF,French Polynesia,258,2044,0.5903305
PYF,French Polynesia,258,2045,0.6065102
PYF,French Polynesia,258,2046,0.6222021999999999
PYF,French Polynesia,258,2047,0.6374001
PYF,French Polynesia,258,2048,0.6520982
PYF,French Polynesia,258,2049,0.6662906
PYF,French Polynesia,258,2050,0.6799715
PYF,French Polynesia,258,2051,0.6931354
PYF,French Polynesia,258,2052,0.705777
PYF,French Polynesia,258,2053,0.7178911999999901
PYF,French Polynesia,258,2054,0.7294729
PYF,French Polynesia,258,2055,0.7405174
PYF,French Polynesia,258,2056,0.75101989999999
PYF,French Polynesia,258,2057,0.7609760999999999
PYF,French Polynesia,258,2058,0.7703819
PYF,French Polynesia,258,2059,0.7792333
PYF,French Polynesia,258,2060,0.7875264999999999
PYF,French Polynesia,258,2061,0.7952578
PYF,French Polynesia,258,2062,0.8024241999999999
PYF,French Polynesia,258,2063,0.8090223000000001
PYF,French Polynesia,258,2064,0.8150495000000001
PYF,French Polynesia,258,2065,0.820503
PYF,French Polynesia,258,2066,0.8253806
PYF,French Polynesia,258,2067,0.8296799
PYF,French Polynesia,258,2068,0.8333992
PYF,French Polynesia,258,2069,0.8365368999999999
PYF,French Polynesia,258,2070,0.8390917
PYF,French Polynesia,258,2071,0.8410622
PYF,French Polynesia,258,2072,0.8424479
PYF,French Polynesia,258,2073,0.8432478999999999
PYF,French Polynesia,258,2074,0.84346189999999
PYF,French Polynesia,258,2075,0.8430897999999999
PYF,French Polynesia,258,2076,0.842132
PYF,French Polynesia,258,2077,0.8405885999999999
PYF,French Polynesia,258,2078,0.8384602999999999
PYF,French Polynesia,258,2079,0.8357484000000001
PYF,French Polynesia,258,2080,0.8324537
PYF,French Polynesia,258,2081,0.8285778
PYF,French Polynesia,258,2082,0.82412229999999
PYF,French Polynesia,258,2083,0.81908939999999
PYF,French Polynesia,258,2084,0.8134809
PYF,French Polynesia,258,2085,0.8072997000000001
PYF,French Polynesia,258,2086,0.8005481
PYF,French Polynesia,258,2087,0.7932292000000001
PYF,French Polynesia,258,2088,0.785346
PYF,French Polynesia,258,2089,0.7769021
PYF,French Polynesia,258,2090,0.7679009
PYF,French Polynesia,258,2091,0.7583464
PYF,French Polynesia,258,2092,0.7482424
PYF,French Polynesia,258,2093,0.7375935
PYF,French Polynesia,258,2094,0.726404
PYF,French Polynesia,258,2095,0.7146783
PYF,French Polynesia,258,2096,0.7024217
PYF,French Polynesia,258,2097,0.6896389
PYF,French Polynesia,258,2098,0.6763351
PYF,French Polynesia,258,2099,0.6625159
PYF,French Polynesia,258,2100,0.6481869
